OT 95,Rehnquist,Stevens,O’Connor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
Rehnquist,NA,63%,87%,88%,83%,78%,89%,77%,73%
Stevens,63%,NA,72%,59%,77%,85%,60%,84%,89%
O’Connor,87%,72%,NA,82%,88%,87%,83%,80%,84%
Scalia,88%,59%,82%,NA,78%,73%,93%,70%,69%
Kennedy,83%,77%,88%,78%,NA,87%,77%,84%,84%
Souter,78%,85%,87%,73%,87%,NA,72%,90%,95%
Thomas,89%,60%,83%,93%,77%,72%,NA,68%,67%
Ginsburg,77%,84%,80%,70%,84%,90%,68%,NA,88%
Breyer,73%,89%,84%,69%,84%,95%,67%,88%,NA
,,,,,,,,,
OT 96,Rehnquist,Stevens,O’Connor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
Rehnquist,NA,66%,84%,90%,89%,80%,91%,76%,73%
Stevens,66%,NA,68%,62%,75%,84%,62%,88%,88%
O’Connor,84%,68%,NA,90%,88%,81%,90%,79%,76%
Scalia,90%,62%,90%,NA,87%,76%,99%,74%,67%
Kennedy,89%,75%,88%,87%,NA,82%,87%,78%,73%
Souter,80%,84%,81%,76%,82%,NA,76%,91%,87%
Thomas,91%,62%,90%,99%,87%,76%,NA,74%,64%
Ginsburg,76%,88%,79%,74%,78%,91%,74%,NA,90%
Breyer,73%,88%,76%,67%,73%,87%,64%,90%,NA
,,,,,,,,,
OT 97,Rehnquist,Stevens,O’Connor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
Rehnquist,NA,67%,88%,85%,94%,78%,84%,79%,77%
Stevens,67%,NA,74%,64%,73%,84%,66%,88%,87%
O’Connor,88%,74%,NA,86%,88%,77%,87%,73%,81%
Scalia,85%,64%,86%,NA,79%,73%,93%,72%,68%
Kennedy,94%,73%,88%,79%,NA,80%,82%,79%,81%
Souter,78%,84%,77%,73%,80%,NA,71%,88%,89%
Thomas,84%,66%,87%,93%,82%,71%,NA,69%,72%
Ginsburg,79%,88%,73%,72%,79%,88%,69%,NA,88%
Breyer,77%,87%,81%,68%,81%,89%,72%,88%,NA
,,,,,,,,,
OT 98 – MISSING,,,,,,,,,
,,,,,,,,,
OT 99,Rehnquist,Stevens,O’Connor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
Rehnquist,NA,58%,95%,86%,90%,71%,83%,69%,77%
Stevens,58%,NA,65%,56%,65%,90%,58%,87%,81%
O’Connor,95%,65%,NA,83%,91%,77%,84%,75%,81%
Scalia,86%,56%,83%,NA,88%,81%,84%,60%,69%
Kennedy,90%,65%,91%,88%,NA,68%,87%,66%,71%
Souter,71%,90%,77%,81%,68%,NA,66%,91%,87%
Thomas,83%,58%,84%,84%,87%,66%,NA,65%,65%
Ginsburg,69%,87%,75%,60%,66%,91%,65%,NA,84%
Breyer,77%,81%,81%,69%,71%,87%,65%,84%,NA
,,,,,,,,,
OT 00,Rehnquist,Stevens,O’Connor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
Rehnquist,NA,64%,86%,93%,93%,69%,94%,65%,63%
Stevens,64%,NA,71%,60%,71%,86%,61%,85%,88%
O’Connor,86%,71%,NA,81%,86%,78%,82%,78%,78%
Scalia,93%,60%,81%,NA,86%,67%,99%,62%,63%
Kennedy,93%,71%,86%,86%,NA,76%,87%,72%,70%
Souter,69%,86%,78%,67%,76%,NA,68%,94%,90%
Thomas,94%,61%,82%,99%,87%,68%,NA,64%,64%
Ginsburg,65%,85%,78%,62%,72%,94%,64%,NA,94%
Breyer,63%,88%,78%,63%,70%,90%,64%,94%,NA
,,,,,,,,,
OT 01,Rehnquist,Stevens,O’Connor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
Rehnquist,NA,60%,79%,84%,88%,63%,86%,67%,69%
Stevens,60%,NA,71%,54%,65%,85%,59%,89%,89%
O’Connor,79%,71%,NA,72%,83%,75%,71%,74%,78%
Scalia,84%,54%,72%,NA,84%,59%,93%,57%,57%
Kennedy,88%,65%,83%,84%,NA,70%,89%,72%,74%
Souter,63%,85%,75%,59%,70%,NA,67%,94%,89%
Thomas,86%,59%,71%,93%,89%,67%,NA,65%,63%
Ginsburg,67%,89%,74%,57%,72%,94%,65%,NA,90%
Breyer,69%,89%,78%,57%,74%,89%,63%,90%,NA
,,,,,,,,,
OT 02,Rehnquist,Stevens,O’Connor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
Rehnquist,NA,73%,87%,86%,93%,79%,81%,85%,77%
Stevens,73%,NA,77%,66%,75%,89%,66%,88%,85%
O’Connor,87%,77%,NA,78%,85%,84%,76%,75%,79%
Scalia,86%,66%,78%,NA,84%,68%,95%,69%,66%
Kennedy,93%,75%,85%,84%,NA,79%,81%,75%,72%
Souter,79%,89%,84%,68%,79%,NA,65%,91%,89%
Thomas,81%,66%,76%,95%,81%,65%,NA,63%,60%
Ginsburg,85%,88%,75%,69%,75%,91%,63%,NA,90%
Breyer,77%,85%,79%,66%,72%,89%,60%,90%,NA
,,,,,,,,,
OT 03,Rehnquist,Stevens,O’Connor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
Rehnquist,NA,67%,91%,90%,91%,68%,89%,71%,74%
Stevens,67%,NA,73%,60%,75%,91%,62%,92%,88%
O’Connor,91%,73%,NA,94%,87%,74%,78%,77%,82%
Scalia,90%,60%,94%,NA,85%,64%,91%,64%,66%
Kennedy,91%,75%,87%,85%,NA,74%,85%,73%,74%
Souter,68%,91%,74%,64%,74%,NA,63%,94%,87%
Thomas,89%,62%,78%,91%,85%,63%,NA,66%,64%
Ginsburg,71%,92%,77%,64%,73%,94%,66%,NA,94%
Breyer,74%,88%,82%,66%,74%,87%,64%,94%,NA
,,,,,,,,,
